# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Mar 11 01:47:47 CST 2017
#
At utterance begin, SIL accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (96,104.5,175) frames.
At utterance end, SIL accounts for 96.5% of phone occurrences, with duration (median, mean, 95-percentile) is (39,52.5,136) frames.
At utterance end, nonsilence accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,27) frames.
At utterance end, S_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.5,28) frames.
At utterance end, T_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,27) frames.
At utterance end, Z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,16.3,27) frames.
Overall, nonsilence accounts for 92.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,16) frames.
Overall, SIL accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (71,74.0,159) frames.
Overall, AH0_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,9) frames.
Overall, T_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.1,15) frames.
Overall, N_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, DH_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,15) frames.
Overall, Z_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
Overall, IY0_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.2,17) frames.
Overall, R_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,12) frames.
Overall, IH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, W_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,15) frames.
Overall, IH1_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,14) frames.
Overall, N_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
