# gunzip -c exp/tri2b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Mar 11 05:09:35 CST 2017
#
At utterance begin, SIL accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (91,99.4,171) frames.
At utterance end, SIL accounts for 93.6% of phone occurrences, with duration (median, mean, 95-percentile) is (35,49.4,133) frames.
At utterance end, nonsilence accounts for 6.4% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.4,33) frames.
At utterance end, T_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.2,32) frames.
At utterance end, S_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.3,32) frames.
At utterance end, Z_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.8,39) frames.
At utterance end, N_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.3,29) frames.
At utterance end, D_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.7,24) frames.
At utterance end, L_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.2,35) frames.
Overall, nonsilence accounts for 92.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,17) frames.
Overall, SIL accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (65,68.0,154) frames.
Overall, AH0_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,9) frames.
Overall, T_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,20) frames.
Overall, N_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, DH_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.6,23) frames.
Overall, Z_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,22) frames.
Overall, IY0_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.0,20) frames.
Overall, R_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, IH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, W_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,19) frames.
Overall, IH1_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,21) frames.
Overall, N_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,19) frames.
Overall, D_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,16) frames.
Overall, T_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,12) frames.
Overall, EH1_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, L_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, IH0_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, HH_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,20) frames.
Overall, AO1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
Overall, S_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,17) frames.
